image,config,psnr,ssim
36_outdoor_hazy.jpg,coarse,15.475890381655093,0.5683576297756942
36_outdoor_hazy.jpg,+sky,15.475890381655093,0.5683576297756942
36_outdoor_hazy.jpg,+refinement,15.977763751710967,0.5955151889199154
36_outdoor_hazy.jpg,full,15.977763751710967,0.5955151889199154
37_outdoor_hazy.jpg,coarse,15.559970588221708,0.5605616520428209
37_outdoor_hazy.jpg,+sky,15.559970588221708,0.5605616520428209
37_outdoor_hazy.jpg,+refinement,15.807243423917715,0.5589325256731144
37_outdoor_hazy.jpg,full,15.807243423917715,0.5589325256731144
38_outdoor_hazy.jpg,coarse,14.3738160849318,0.5522226917426436
38_outdoor_hazy.jpg,+sky,14.373816740348019,0.5522224562939834
38_outdoor_hazy.jpg,+refinement,14.673378357943353,0.5614260716255918
38_outdoor_hazy.jpg,full,14.673473304368391,0.5614348245280142
39_outdoor_hazy.jpg,coarse,12.010620128905483,0.46675761975803093
39_outdoor_hazy.jpg,+sky,12.01068620775918,0.46674357363727254
39_outdoor_hazy.jpg,+refinement,12.446551695669829,0.5021584397388369
39_outdoor_hazy.jpg,full,12.4536108402606,0.502692239756366
40_outdoor_hazy.jpg,coarse,12.602246228433353,0.5073607334330063
40_outdoor_hazy.jpg,+sky,12.602246228433353,0.5073607334330063
40_outdoor_hazy.jpg,+refinement,13.132649585645238,0.5694019124068522
40_outdoor_hazy.jpg,full,13.132649585645238,0.5694019124068522
41_outdoor_hazy.jpg,coarse,11.990667678702005,0.5375505197566813
41_outdoor_hazy.jpg,+sky,11.990667678702005,0.5375505197566813
41_outdoor_hazy.jpg,+refinement,12.349495891311308,0.5910736081802206
41_outdoor_hazy.jpg,full,12.349495891311308,0.5910736081802206
42_outdoor_hazy.jpg,coarse,16.209394891672925,0.47362959343138594
42_outdoor_hazy.jpg,+sky,16.209398494123082,0.4736292652666158
42_outdoor_hazy.jpg,+refinement,16.51164212028774,0.4956864283945072
42_outdoor_hazy.jpg,full,16.51202066229667,0.4957033843452055
43_outdoor_hazy.jpg,coarse,12.399390928645966,0.5138003105518921
43_outdoor_hazy.jpg,+sky,12.399390515463915,0.5138013631016628
43_outdoor_hazy.jpg,+refinement,12.826890683833001,0.5755457088216646
43_outdoor_hazy.jpg,full,12.827359647182867,0.5755439571932287
44_outdoor_hazy.jpg,coarse,11.836668373389323,0.5171112003964757
44_outdoor_hazy.jpg,+sky,11.8366693933075,0.5171119808235544
44_outdoor_hazy.jpg,+refinement,12.211310413127825,0.5578285744372496
44_outdoor_hazy.jpg,full,12.21133107314991,0.5578331644147219
45_outdoor_hazy.jpg,coarse,14.459639173864067,0.49350215501359457
45_outdoor_hazy.jpg,+sky,14.459639173864067,0.49350215501359457
45_outdoor_hazy.jpg,+refinement,14.726493173907041,0.5176454922979431
45_outdoor_hazy.jpg,full,14.726493173907041,0.5176454922979431

config,psnr_mean,psnr_std,ssim_mean,ssim_std
coarse,14.12667210720509,2.1209857931787894,0.5276755094315402,0.07966534158457084
+sky,14.127839397431423,2.121098107313641,0.5276542893919176,0.07967566953657863
+refinement,14.436681170083103,2.1797819764235813,0.5564286904916755,0.08352951173489423
full,14.440309824308162,2.180097658179676,0.5565191544523849,0.08354486361625436
